
Copyright © 2019 OB.EC. All Rights Reserved.
 =============================================

[15:44:05]: =====START TEST=====
[15:44:40]: AddText is SKIPPED...
[15:44:40]: EditText is SKIPPED...
[15:44:40]: TextPositionButtons is SKIPPED...
[15:44:40]: TextRotation is SKIPPED...
[15:44:40]: TextSize is SKIPPED...
[15:44:40]: AddColor is SKIPPED...
[15:44:40]: FontColorCode is SKIPPED...
[15:44:40]: FontLibrary is SKIPPED...
[15:44:40]: Shadow is SKIPPED...
[15:44:40]: FontStyle is SKIPPED...
[15:44:40]: FontOpacity is SKIPPED...
[15:44:40]: LatterSpacing is SKIPPED...
[15:44:40]: UndoRedo is SKIPPED...
[15:44:40]: UndoRotaion is SKIPPED...
[15:44:40]: UndoSize is SKIPPED...
[15:44:40]: UndoColor is SKIPPED...
[15:44:40]: UndoFont is SKIPPED...
[15:44:40]: UndoShadow is SKIPPED...
[15:44:40]: UndoStyle is SKIPPED...
[15:44:40]: UndoOpacity is SKIPPED...
[15:44:40]: UndoLatterSpace is SKIPPED...
[15:44:40]: PositionLock is SKIPPED...
[15:44:40]: RotationLock is SKIPPED...
[15:44:40]: SizeLock is SKIPPED...
[15:44:40]: FrameLayer is SKIPPED...
[15:44:40]: FontParagraph is SKIPPED...
[15:44:40]: ParagraphEdit is SKIPPED...
[15:44:40]: ParagraphVerticalSpace is SKIPPED...
[15:44:40]: ParagraphStyle is SKIPPED...
[15:44:40]: FontAutoSave is SKIPPED...
[15:44:40]: FontSave is SKIPPED...
[15:44:40]: =====FINISH TEST=====
